NP_003117,SPTA1,"spectrin alpha chain,-1.433001,3.524801
NP_000468,ALB,serum albumin preproprotein,0.626411,4.927567
NP_002696,PPL,periplakin,-0.197468,1.802580
NP_001254479,NA,titin isoform IC,-0.488493,1.942929
NP_596870,TTN,titin isoform novex-3,-0.689260,-2.750915
NP_002151,TNC,tenascin precursor,-0.059172,-2.115295
NP_061978,NA,tenascin-X isoform 1 precursor,0.371124,3.082837
NP_004516,LRP2,low-density lipoprotein receptor-related protein 2 precursor,-2.792079,0.928297
NP_001229752,NA,complement C4-B-like preproprotein,0.345288,3.875202
NP_001002029,C4B,complement C4-B preproprotein,0.349108,3.876303
NP_009224,C4A,complement C4-A isoform 1 preproprotein,0.348849,3.850757
NP_000543,VWF,von Willebrand factor preproprotein,0.483694,2.500204
NP_937762,LAMA3,laminin subunit alpha-3 isoform 1 precursor,-0.336995,2.337127
NP_001084,ACACB,acetyl-CoA carboxylase 2 precursor,-0.099925,3.186860
NP_002449,NA,mucin-5B precursor,-2.987459,-0.183170
NP_000005,A2M,alpha-2-macroglobulin precursor,0.048255,4.284153
NP_002855,PZP,pregnancy zone protein precursor,0.113973,3.890909
NP_940980,LRRK2,leucine-rich repeat serine/threonine-protein kinase 2,-0.281907,-3.598409
NP_066933,COL14A1,collagen alpha-1(XIV) chain precursor,0.035041,3.730855
NP_000028,ANK1,ankyrin-1 isoform 3,-1.216761,4.562871
NP_065210,ANK1,ankyrin-1 isoform 2,-1.210415,4.581160
NP_066187,ANK2,ankyrin-2 isoform 2,0.221886,2.228928
NP_001054,TF,serotransferrin precursor,0.542350,4.629536
NP_002283,LAMB2,laminin subunit beta-2 precursor,0.417910,4.288735
NP_031382,LAMB4,laminin subunit beta-4 precursor,0.248124,4.850132
NP_002284,LAMC1,laminin subunit gamma-1 precursor,0.432238,3.050783
NP_006050,LAMC3,laminin subunit gamma-3 precursor,0.676444,3.377800
NP_001098677,NA,laminin subunit alpha-4 isoform 2 precursor,0.503767,3.702522
NP_071374,ASCC3,activating signal cointegrator 1 complex subunit 3 isoform b,0.041339,-3.550247
NP_002263,NA,"keratin,-0.578151,1.612117
NP_778253,KRT77,"keratin,-2.454972,0.978160
NP_005373,NEFM,neurofilament medium polypeptide isoform 1,0.934838,4.670161
NP_000414,KRT2,"keratin,-2.177334,2.371700
NP_006253,PRPH,peripherin,0.469883,3.711980
NP_476429,KRT3,"keratin,-0.611014,1.600774
NP_116116,INA,alpha-internexin,0.954235,4.790175
NP_001099011,NEFM,neurofilament medium polypeptide isoform 2,0.907259,4.670161
NP_778223,KRT74,"keratin,-1.317332,1.654015
NP_258259,KRT71,"keratin,-0.871812,1.889758
NP_778238,KRT73,"keratin,-1.645377,1.521028
NP_149022,KRT82,"keratin,-3.481138,0.202417
NP_001918,DES,desmin,-0.070003,3.448162
NP_000415,KRT5,"keratin,-2.341659,2.732923
NP_787028,KRT79,"keratin,-0.796596,1.675002
NP_065867,KIF17,kinesin-like protein KIF17 isoform a,0.025969,2.611023
NP_001716,BPI,bactericidal permeability-increasing protein precursor,-2.011168,0.127226
NP_072174,TNS1,tensin-1,0.486628,3.060642
NP_663780,SYNM,synemin isoform A,-1.052195,2.729253
NP_056101,SYNM,synemin isoform B,-1.024438,2.674700
NP_005550,LAMA1,laminin subunit alpha-1 precursor,-0.059479,2.491253
NP_002854,PYGL,"glycogen phosphorylase,-0.175663,2.065304
NP_001726,C5,complement C5 preproprotein,0.318467,3.393593
NP_001155971,CAND2,cullin-associated NEDD8-dissociated protein 2 isoform 1,-0.210481,-2.344374
NP_003881,NA,IgGFc-binding protein precursor,-0.884762,1.831463
NP_001159477,EPB41,protein 4.1 isoform 1,-0.133207,3.843286
NP_004428,EPB41,protein 4.1 isoform 6,-0.124053,3.823648
NP_056667,LMO7,LIM domain only protein 7 isoform 2,0.027201,-2.066287
NP_001186871,NA,protein dopey-1 isoform b,-1.295748,-5.100426
NP_001258152,NA,obscurin isoform IC,-0.064853,2.675977
NP_443075,NA,obscurin isoform a,-0.413032,2.528014
NP_000292,PLG,plasminogen isoform 1 precursor,0.066722,3.216988
NP_005568,LPA,apolipoprotein(a) precursor,0.197285,2.572362
NP_000177,CFH,complement factor H isoform a precursor,0.493200,3.152001
NP_002104,CFHR1,complement factor H-related protein 1 precursor,0.439641,2.581444
NP_066303,CFHR3,complement factor H-related protein 3 isoform 1 precursor,0.318965,3.225099
NP_005657,CFHR2,complement factor H-related protein 2 precursor,0.597392,2.920551
NP_001188479,NA,complement factor H-related protein 4 isoform 1 precursor,0.335561,3.546199
NP_003226,TG,thyroglobulin precursor,-5.136598,-0.974332
NP_000087,CP,ceruloplasmin precursor,0.318613,3.778314
NP_002334,LTF,lactotransferrin isoform 1 precursor,-3.647761,1.080059
NP_001368,DYNC2H1,cytoplasmic dynein 2 heavy chain 1 isoform 1,-0.189877,3.415886
NP_001073869,PLIN4,perilipin-4,-0.428858,4.707437
NP_055948,MAPK8IP3,C-Jun-amino-terminal kinase-interacting protein 3 isoform 1,-0.048592,-2.282777
NP_000289,PKLR,pyruvate kinase isozymes R/L isoform 1,-0.019261,3.706864
NP_004902,PDIA4,protein disulfide-isomerase A4 precursor,-0.096662,-2.175388
NP_031387,NID2,nidogen-2 precursor,0.532834,2.668211
NP_002499,NID1,nidogen-1 precursor,0.541764,3.462574
NP_003651,PPFIA3,liprin-alpha-3,-0.087804,-2.182539
NP_002268,KRT31,"keratin,-0.999477,2.550734
NP_853515,KRT27,"keratin,-2.353396,1.664386
NP_002269,KRT32,"keratin,-0.947596,3.706576
NP_000413,NA,"keratin,-2.214776,1.659725
NP_000517,KRT14,"keratin,-1.624262,1.319085
NP_005548,NA,"keratin,-1.747571,0.561186
NP_056330,KRT23,"keratin,-1.846921,0.568340
NP_001701,CFB,complement factor B preproprotein,0.417929,3.095656
NP_597734,SYNPO2,synaptopodin-2 isoform a,0.030643,2.316010
NP_001122405,SYNPO2,synaptopodin-2 isoform b,0.060637,2.326827
NP_001839,COL6A1,collagen alpha-1(VI) chain precursor,0.629100,2.867749
NP_001030128,SORBS1,sorbin and SH3 domain-containing protein 1 isoform 5,0.326726,3.247707
NP_001030126,SORBS1,sorbin and SH3 domain-containing protein 1 isoform 3,0.329535,3.288747
NP_001030129,SORBS1,sorbin and SH3 domain-containing protein 1 isoform 7,0.288683,2.998473
NP_001139145,SORBS2,sorbin and SH3 domain-containing protein 2 isoform 6,-0.350125,1.665347
NP_001139146,SORBS2,sorbin and SH3 domain-containing protein 2 isoform 7,-0.379020,1.765558
NP_001188412,NA,c-myc promoter-binding protein-1 isoform MBP-1,0.245288,2.261383
NP_001966,ENO2,gamma-enolase,0.234599,2.682668
NP_001967,NA,beta-enolase isoform 1,0.284289,2.495013
NP_001265440,NA,AP-3 complex subunit beta-2 isoform 3,0.021811,-2.099617
NP_001129487,NA,annexin A2 isoform 2,0.364091,2.918997
NP_002188,ACO1,cytoplasmic aconitate hydratase,0.427069,2.493026
NP_002209,ITIH4,inter-alpha-trypsin inhibitor heavy chain H4 isoform 1 precursor,0.517105,3.642032
NP_001159921,ITIH4,inter-alpha-trypsin inhibitor heavy chain H4 isoform 2 precursor,0.517630,3.697757
NP_001257293,NA,cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 1,0.612157,4.679080
NP_002635,PIGR,polymeric immunoglobulin receptor precursor,-3.010988,5.185113
NP_075384,KRI1,protein KRI1 homolog,-0.201343,-2.210435
NP_001171730,NA,E3 ubiquitin-protein ligase UBR2 isoform 2,-0.091050,-2.268194
NP_002448,MUC2,mucin-2 precursor,-4.918082,-1.071204
NP_036579,STAG3,cohesin subunit SA-3,-1.094492,-3.714326
NP_055242,CPNE7,copine-7 isoform b,-1.150202,-3.224361
NP_000056,C6,complement component C6 precursor,0.440801,3.001018
NP_000497,F2,prothrombin preproprotein,0.352562,3.664841
NP_443195,TOP1MT,"DNA topoisomerase I,-0.099330,-2.207532
NP_001810,CHGB,secretogranin-1 precursor,-5.721688,-2.287246
NP_054878,SETD2,histone-lysine N-methyltransferase SETD2,0.202188,3.456813
NP_000286,SERPINA1,alpha-1-antitrypsin precursor,0.523234,4.578651
NP_001116105,CPS1,carbamoyl-phosphate synthase,-1.496618,0.595115
NP_001191008,NA,ankyrin repeat and sterile alpha motif domain-containing protein 1B isoform j,-1.203024,-3.560637
NP_002207,ITIH2,inter-alpha-trypsin inhibitor heavy chain H2 precursor,0.273121,2.910091
NP_001743,CAT,catalase,-0.108645,3.552563
NP_055416,EHD2,EH domain-containing protein 2,0.540259,4.614595
NP_000695,ATP4A,potassium-transporting ATPase alpha chain 1,-0.855919,-3.317191
NP_002678,PNN,pinin,-0.288209,-2.860462
NP_001150,AOX1,aldehyde oxidase,0.712989,3.136543
NP_000370,XDH,xanthine dehydrogenase/oxidase,-2.741215,-0.433781
NP_001186346,NA,rho GTPase-activating protein 23,-0.477626,-3.624386
NP_000030,APOA1,apolipoprotein A-I preproprotein,0.576189,4.561021
NP_612808,BCL11B,B-cell lymphoma/leukemia 11B isoform 1,-0.014743,-2.151812
NP_001124,AFM,afamin precursor,0.429741,4.736336
NP_001036068,KDM5A,lysine-specific demethylase 5A,-0.003615,-2.112712
NP_055885,ZC3H13,zinc finger CCCH domain-containing protein 13,-0.274599,-2.491391
NP_002206,ITIH1,inter-alpha-trypsin inhibitor heavy chain H1 isoform a precursor,0.334937,2.348247
NP_054908,ADD1,alpha-adducin isoform b,0.365234,2.375098
NP_002044,GBP1,interferon-induced guanylate-binding protein 1,-0.515339,-2.656163
NP_060754,GBP3,guanylate-binding protein 3,-0.615553,-2.896893
NP_000578,C7,complement component C7 precursor,0.330360,3.121741
NP_001191236,NA,vitamin D-binding protein isoform 3 precursor,0.577067,4.420474
NP_000473,APOA4,apolipoprotein A-IV precursor,0.532900,4.059309
NP_001986,ACSL1,long-chain-fatty-acid--CoA ligase 1,0.106859,2.989967
NP_057318,ACSL5,long-chain-fatty-acid--CoA ligase 5 isoform a,-0.018459,2.354352
NP_001009185,ACSL6,long-chain-fatty-acid--CoA ligase 6 isoform b,0.333713,3.106703
NP_001840,COL6A2,collagen alpha-2(VI) chain isoform 2C2 precursor,0.649814,3.025947
NP_478054,COL6A2,collagen alpha-2(VI) chain isoform 2C2a precursor,0.668589,3.187229
NP_001631,APEH,acylamino-acid-releasing enzyme,0.285659,2.810150
NP_006750,UGP2,UTP--glucose-1-phosphate uridylyltransferase isoform a,0.041105,2.053153
NP_006201,NA,paternally-expressed gene 3 protein isoform 1,-0.560219,-3.002486
NP_001724,NA,complement C1r subcomponent precursor,0.442724,2.445229
NP_001245218,NA,selenium-binding protein 1 isoform 3,-0.042694,3.374660
NP_000479,SERPINC1,antithrombin-III precursor,0.502308,4.044414
NP_060141,FERMT1,fermitin family homolog 1,0.294660,2.599242
NP_005348,LIPE,hormone-sensitive lipase,0.247512,4.504552
NP_000604,HPX,hemopexin precursor,0.679016,4.328981
NP_055674,RICH2,rho GTPase-activating protein 44,0.161070,-2.054123
NP_001141,ANPEP,aminopeptidase N precursor,-0.491719,2.903062
NP_000680,ALDH1A1,retinal dehydrogenase 1,0.422985,4.543281
NP_000681,ALDH2,"aldehyde dehydrogenase,0.314329,2.913736
NP_003879,ALDH1A2,retinal dehydrogenase 2 isoform 1,0.524234,3.629284
NP_001193826,NA,retinal dehydrogenase 2 isoform 4,0.448803,3.338591
NP_001005337,NA,plakophilin-1 isoform 1a,-2.609056,0.129742
NP_000290,PKP1,plakophilin-1 isoform 1b,-2.595333,0.129742
NP_004235,NA,scavenger receptor cysteine-rich type 1 protein M130 isoform a precursor,0.328832,2.404869
NP_115754,NA,elongation factor 1-delta isoform 1,0.080459,-1.920897
NP_001128471,FERMT2,fermitin family homolog 2 isoform 2,0.553779,2.795466
NP_001076,SERPINA3,alpha-1-antichymotrypsin precursor,0.386794,4.071605
NP_000027,NA,AMP deaminase 1 isoform 1,0.270882,-1.850219
NP_000509,HBB,hemoglobin subunit beta,-1.473156,5.163693
NP_000510,HBD,hemoglobin subunit delta,-1.552159,4.952367
NP_000550,HBG1,hemoglobin subunit gamma-1,-2.481314,6.334954
NP_000175,HBG2,hemoglobin subunit gamma-2,-2.566053,6.379532
NP_005321,HBE1,hemoglobin subunit epsilon,-0.982249,7.320944
NP_055465,ZNF432,zinc finger protein 432,-0.612530,-4.473072
NP_660281,ZSCAN20,zinc finger and SCAN domain-containing protein 20,-0.213176,-2.770352
XP_003960003,NA,PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 100,-1.220828,-4.525944
NP_057615,KLF3,Krueppel-like factor 3,-0.326560,1.719352
NP_001201835,NA,zinc finger protein 48 isoform 1,-1.222142,-4.825261
NP_000057,NA,complement component C8 beta chain isoform 1 preproprotein,0.367818,2.494290
NP_647537,ATRN,attractin isoform 1 preproprotein,0.469761,3.810500
NP_001138783,PLIN1,perilipin-1,-0.213110,5.284007
NP_001001329,PRKCSH,glucosidase 2 subunit beta isoform 2 precursor,-0.047141,-2.239412
NP_055790,MAST1,microtubule-associated serine/threonine-protein kinase 1,0.258429,2.362290
NP_002429,MRC1,macrophage mannose receptor 1 precursor,0.522198,2.631920
NP_001229291,NA,melanoma-associated antigen D4 isoform 3,-0.113571,-3.755108
NP_002605,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform 1,-3.412892,-0.024894
NP_001096078,COL6A6,collagen alpha-6(VI) chain precursor,0.196969,4.733115
NP_001095886,KNG1,kininogen-1 isoform 1 precursor,0.496804,4.134058
NP_000884,KNG1,kininogen-1 isoform 2 precursor,0.529260,4.325983
NP_000161,GLDC,glycine dehydrogenase,-2.963486,-0.916671
NP_001911,DCN,decorin isoform a preproprotein,0.381872,3.670462
NP_000691,ANXA1,annexin A1,0.345480,3.055419
NP_055542,MLL4,histone-lysine N-methyltransferase MLL4,0.239564,3.943137
NP_001098714,PTPRM,receptor-type tyrosine-protein phosphatase mu isoform 1 precursor,0.333784,3.323797
NP_443202,HSPA12B,heat shock 70 kDa protein 12B isoform 1,0.558108,3.182050
NP_079291,HSPA12A,heat shock 70 kDa protein 12A,0.592763,3.910132
NP_004550,YBX1,nuclease-sensitive element-binding protein 1,-0.367261,-2.381906
NP_000549,NA,hemoglobin subunit alpha,-1.627508,5.141182
NP_005134,NA,haptoglobin isoform 1 preproprotein,0.171222,2.364676
NP_066275,NA,haptoglobin-related protein precursor,0.206040,2.557723
NP_000883,KLKB1,plasma kallikrein preproprotein,0.448615,3.209204
NP_000917,PGR,progesterone receptor isoform B,-2.064872,0.631155
NP_000553,C8A,complement component C8 alpha chain precursor,0.313070,2.664082
NP_005920,MFI2,melanotransferrin isoform 1 precursor,-0.519422,2.613168
NP_036246,CASP14,caspase-14 precursor,-4.699632,-1.964402
NP_001106177,SCIN,adseverin isoform 1,-0.469455,1.610389
NP_000889,MAOB,amine oxidase,-0.581373,1.617002
NP_000231,MAOA,amine oxidase,-1.039756,3.350638
NP_997281,GBP7,guanylate-binding protein 7,-0.342959,-2.830422
NP_002386,ME1,NADP-dependent malic enzyme,-0.140467,2.420591
NP_004725,DCLK1,serine/threonine-protein kinase DCLK1 isoform 1,-0.896725,1.372997
NP_001182345,NA,serine/threonine-protein kinase DCLK1 isoform 3,-1.296258,1.093794
NP_001728,C9,complement component C9 precursor,0.545731,3.467060
NP_004896,PRDX6,peroxiredoxin-6,0.338567,2.668260
NP_001970,EPHX2,bifunctional epoxide hydrolase 2 isoform a,-0.849963,1.721251
NP_001243412,NA,bifunctional epoxide hydrolase 2 isoform c,-0.880069,1.677802
NP_005130,ANXA3,annexin A3,-1.384900,0.825773
NP_078966,MUC16,mucin-16,-0.906817,2.534854
XP_003960891,NA,PREDICTED: mucin-16-like,-1.339327,2.862149
NP_001258662,NA,putative macrophage stimulating 1-like protein,0.301294,2.703955
NP_000706,C4BPA,C4b-binding protein alpha chain precursor,0.233292,2.793632
NP_001489,GCLC,glutamate--cysteine ligase catalytic subunit isoform a,0.071193,2.596791
NP_001027392,STXBP1,syntaxin-binding protein 1 isoform b,0.295169,2.716649
NP_005952,MUC6,mucin-6 precursor,-0.956945,1.540627
NP_002197,ITGA7,integrin alpha-7 isoform 2 precursor,0.333268,3.935414
NP_001138468,ITGA7,integrin alpha-7 isoform 1 precursor,0.317308,4.167165
NP_004416,ECM1,extracellular matrix protein 1 isoform 1 precursor,0.272351,2.275719
NP_055929,ANKLE2,ankyrin repeat and LEM domain-containing protein 2,-0.170090,1.951685
NP_001069,VCAM1,vascular cell adhesion protein 1 isoform a precursor,-2.748821,-0.465217
NP_001186763,NA,vascular cell adhesion protein 1 isoform c precursor,-2.768317,-0.511416
NP_000110,EPB42,erythrocyte membrane protein band 4.2 isoform 1,-1.397273,4.838752
NP_001020366,CES1,liver carboxylesterase 1 isoform a precursor,0.366332,5.364537
NP_001257,CES1,liver carboxylesterase 1 isoform c precursor,0.352473,5.332972
NP_001258137,NA,nebulin isoform 4,-0.196528,4.539629
NP_001132,ALOX15B,arachidonate 15-lipoxygenase B isoform d,-2.945040,-0.767191
NP_000195,CFI,complement factor I preproprotein,0.435120,3.518985
NP_001185748,NA,APOBEC1 complementation factor isoform 4,-1.414220,1.769668
NP_003053,SLIT3,slit homolog 3 protein isoform 2 precursor,0.251418,2.943516
NP_060742,CASC1,cancer susceptibility candidate protein 1 isoform a,0.061302,-3.126170
NP_000403,HRG,histidine-rich glycoprotein precursor,0.344924,3.838868
NP_001073964,NA,trinucleotide repeat-containing gene 18 protein,-0.667995,1.966468
NP_570720,CPNE4,copine-4,-1.217881,-3.374075
NP_004985,MMP9,matrix metalloproteinase-9 preproprotein,-2.266319,0.760688
NP_001176,NA,zinc-alpha-2-glycoprotein precursor,0.707815,5.305092
NP_110420,FBXO38,F-box only protein 38 isoform a,-0.099096,2.832164
NP_060681,RAVER2,ribonucleoprotein PTB-binding 2,-0.381240,1.671790
NP_071745,ERAP2,endoplasmic reticulum aminopeptidase 2,-0.485096,1.853382
NP_001137854,PLCL2,inactive phospholipase C-like protein 2 isoform 1,0.117922,3.052580
NP_001862,CPB1,carboxypeptidase B preproprotein,-6.303350,-2.070490
NP_000921,PLAT,tissue-type plasminogen activator isoform 1 preproprotein,-1.714073,2.064582
NP_127509,PLAT,tissue-type plasminogen activator isoform 3 preproprotein,-1.822465,2.143121
NP_001180414,NA,LIM and senescent cell antigen-like-containing domain protein 1 isoform a,0.420530,2.427388
NP_001180412,NA,LIM and senescent cell antigen-like-containing domain protein 1 isoform d,0.446065,2.507118
NP_001180413,NA,LIM and senescent cell antigen-like-containing domain protein 1 isoform e,0.446552,2.507118
NP_004978,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1 isoform b,0.446290,2.507118
NP_000659,NA,alcohol dehydrogenase 1B,-0.049281,5.742525
NP_000660,NA,alcohol dehydrogenase 1C,-0.377285,4.997786
NP_000661,ADH4,alcohol dehydrogenase 4,0.370614,6.076604
NP_000241,MPO,myeloperoxidase precursor,-1.865709,0.339986
NP_036364,PTRF,polymerase I and transcript release factor,0.482857,4.559440
NP_078849,C6ORF211,UPF0364 protein C6orf211,-2.314802,-0.039934
NP_006357,CAP2,adenylyl cyclase-associated protein 2,-0.330785,1.671863
NP_775733,PAPLN,papilin precursor,0.168456,2.886398
NP_001822,CLU,clusterin preproprotein,-0.327654,2.593433
NP_000780,ACE,angiotensin-converting enzyme isoform 1 precursor,0.312755,3.340087
NP_001153171,FHL1,four and a half LIM domains protein 1 isoform 5,0.184119,4.261275
NP_001153173,FHL1,four and a half LIM domains protein 1 isoform 3 precursor,0.184391,4.261275
NP_001153174,FHL1,four and a half LIM domains protein 1 isoform 1,0.204075,4.354755
NP_001153175,FHL1,four and a half LIM domains protein 1 isoform 4,0.239388,4.245215
NP_001032238,ACOT1,acyl-coenzyme A thioesterase 1,-0.044561,2.496494
NP_003864,NRP1,neuropilin-1 isoform a precursor,0.347601,2.468821
NP_000022,ALAD,delta-aminolevulinic acid dehydratase,0.227358,3.165678
NP_001814,CKB,creatine kinase B-type,-1.353964,2.281922
NP_775752,C19ORF21,uncharacterized protein C19orf21,-1.536157,0.480710
NP_000128,FAH,fumarylacetoacetase,-0.295008,1.977012
NP_001344,AKR1C1,aldo-keto reductase family 1 member C1,-0.315515,4.384076
NP_001240837,NA,aldo-keto reductase family 1 member C3 isoform 2,0.112042,4.380209
NP_001345,AKR1C2,aldo-keto reductase family 1 member C2 isoform 1,-0.551519,4.652103
XP_003960903,NA,PREDICTED: aldo-keto reductase family 1 member C2-like isoform 3,-0.422649,4.441908
NP_001809,NA,aldo-keto reductase family 1 member C4,-0.182755,4.051565
NP_001177836,NA,3-oxo-5-beta-steroid 4-dehydrogenase isoform 3,-0.007510,4.414115
NP_004390,DDX11,probable ATP-dependent RNA helicase DDX11 isoform 2,-0.025904,-3.033137
NP_002727,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,0.249979,2.492488
NP_001608,ADD2,beta-adducin isoform a,0.010930,4.246212
NP_817092,PPM1G,protein phosphatase 1G,-0.319363,-2.336359
NP_056244,ABI3BP,target of Nesh-SH3 precursor,0.235366,3.527390
NP_001985,F13B,coagulation factor XIII B chain precursor,0.627770,3.526471
NP_001290,CNN1,calponin-1,-1.075700,1.697920
NP_002716,PRELP,prolargin precursor,0.434744,4.386947
NP_002427,MPP1,55 kDa erythrocyte membrane protein isoform 1,0.211982,3.334852
NP_001159933,MPP1,55 kDa erythrocyte membrane protein isoform 3,0.212881,3.356800
NP_005558,LGALS3BP,galectin-3-binding protein precursor,-0.307775,2.628037
NP_068800,PGM5,phosphoglucomutase-like protein 5,-0.210469,3.165066
NP_006008,PROM1,prominin-1 isoform 1 precursor,-4.420723,1.534538
NP_001139322,PROM1,prominin-1 isoform 6 precursor,-4.418499,1.534538
NP_000119,F11,coagulation factor XI precursor,0.449463,2.752339
NP_006257,RALGDS,ral guanine nucleotide dissociation stimulator isoform 1,-0.225826,-3.259064
NP_005267,GPD1,glycerol-3-phosphate dehydrogenase,-0.056609,5.395258
NP_000304,PROS1,vitamin K-dependent protein S preproprotein,0.301043,3.465611
NP_004531,NCAM2,neural cell adhesion molecule 2 precursor,-2.654200,0.119439
NP_000662,NA,alcohol dehydrogenase class-3,0.287707,2.689470
NP_060150,NA,asporin isoform 1 preproprotein,0.156444,2.348392
NP_663722,APBB1,amyloid beta A4 precursor protein-binding family B member 1 isoform b,-0.879908,-7.914589
NP_004306,ASAH1,acid ceramidase isoform b,-0.291393,1.936161
NP_078881,ARHGAP10,rho GTPase-activating protein 10,0.078574,2.134092
NP_004708,DGKI,diacylglycerol kinase iota,0.372977,3.307597
NP_001029102,UBA52,ubiquitin-60S ribosomal protein L40 precursor,-0.270935,1.931701
NP_056127,KIAA1109,uncharacterized protein KIAA1109,-0.178191,5.527169
NP_001231001,NA,GTPase IMAP family member 6 isoform 2,0.114777,-3.533169
NP_003186,TCEA2,transcription elongation factor A protein 2 isoform a,-0.159306,-2.381973
NP_859063,KANK4,KN motif and ankyrin repeat domain-containing protein 4,0.327499,2.993038
NP_057381,PCYOX1,prenylcysteine oxidase 1 precursor,0.126301,2.739034
NP_001130005,DCAF8L2,DDB1- and CUL4-associated factor 8-like protein 2,0.164309,-2.838307
NP_085046,NA,inter-alpha-trypsin inhibitor heavy chain H5 isoform 1 precursor,0.435328,3.887132
NP_001001851,ITIH5,inter-alpha-trypsin inhibitor heavy chain H5 isoform 3 precursor,0.417239,3.758870
NP_000333,SLC4A1,band 3 anion transport protein,-1.662769,4.058423
NP_005800,PRDX2,peroxiredoxin-2,-0.008976,4.201561
NP_055363,TMOD2,tropomodulin-2 isoform a,0.157953,2.568924
NP_148935,OGN,mimecan preproprotein,0.075232,5.375597
NP_775837,C22ORF30,protein PRR14L,-0.181137,3.709123
NP_001876,CRYAB,alpha-crystallin B chain,-0.248863,3.813155
NP_002630,SERPINB5,serpin B5,-2.286895,1.077873
NP_060125,GIPC2,PDZ domain-containing protein GIPC2,0.470037,3.003298
NP_000925,SERPINF2,alpha-2-antiplasmin isoform a precursor,0.419981,3.669127
NP_065838,ZNF624,zinc finger protein 624,-0.910177,1.939736
NP_872330,ZNF595,zinc finger protein 595,-0.099363,2.276035
NP_612143,ZNF681,zinc finger protein 681,-0.809449,-4.525944
NP_003406,ZNF268,zinc finger protein 268 isoform a,-0.787664,5.792491
NP_008922,ZNF197,zinc finger protein 197 isoform 1,-1.499380,-3.610790
NP_689668,ZSCAN29,zinc finger and SCAN domain-containing protein 29,-0.082580,2.387324
NP_002336,LUM,lumican precursor,0.483464,4.218921
NP_031377,MMRN1,multimerin-1 precursor,-0.082894,4.366770
NP_000682,ALDH3A1,"aldehyde dehydrogenase,-0.221241,2.049389
NP_000840,GSTM3,glutathione S-transferase Mu 3,-2.167580,-0.036014
NP_443122,PGLYRP2,N-acetylmuramoyl-L-alanine amidase precursor,0.445712,3.571000
NP_000033,APOH,beta-2-glycoprotein 1 precursor,0.591286,4.270248
NP_036266,LMOD1,leiomodin-1,-0.178137,2.763354
NP_000496,F12,coagulation factor XII precursor,0.469196,3.480348
NP_001095838,C14ORF159,"UPF0317 protein C14orf159,-0.532644,1.521117
NP_006491,MCAM,cell surface glycoprotein MUC18 precursor,0.183749,3.397850
NP_001185867,NA,dystrobrevin alpha isoform 10,-0.092501,1.961769
NP_001185871,NA,dystrobrevin alpha isoform 14,-0.027218,2.051273
NP_075461,NA,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform 2,-0.570758,4.700388
XP_003960990,NA,PREDICTED: voltage-dependent N-type calcium channel subunit alpha-1B-like,0.213467,2.669205
NP_671704,HS6ST2,heparan-sulfate 6-O-sulfotransferase 2 isoform S,0.061149,4.700388
NP_001180418,NA,selenocysteine insertion sequence-binding protein 2-like isoform 1,-0.044576,2.742242
NP_000176,SERPIND1,heparin cofactor 2 precursor,0.418631,2.457241
NP_001153651,NAT1,arylamine N-acetyltransferase 1 isoform a,-1.696497,2.295772
NP_001188264,NA,GC-rich sequence DNA-binding factor 2 isoform 3,-0.208067,-3.071285
NP_443188,ACSM1,"acyl-coenzyme A synthetase ACSM1,-4.044950,-1.040150
NP_000713,CACNA2D1,voltage-dependent calcium channel subunit alpha-2/delta-1 precursor,0.372084,2.390574
NP_002606,SERPINF1,pigment epithelium-derived factor precursor,0.424957,2.438621
NP_003725,AOC3,membrane primary amine oxidase isoform 1,0.104680,3.454625
